sample	GSM	sampleID	sample_new	sample_new_old	group	disease	nCoV_mean	nFeature_RNA_low	nFeature_RNA_high	nCount_RNA	percent.mito
GSM4475048_C51	GSM4475048 	C51	HC1	HC1	HC	N	0	200	6000	1000	10
GSM4475049_C52	GSM4475049 	C52	HC2	HC2	HC	N	0	200	6000	1000	10
GSM4475050_C100	GSM4475050 	C100	HC3	HC3	HC	N	0	200	6000	1000	10
GSM4339769_C141	GSM4339769 	C141	M1	O1	M	Y	0	200	6000	1000	10
GSM4339770_C142	GSM4339770 	C142	M2	O2	M	Y	0	200	6000	1000	10
GSM4339772_C144	GSM4339772 	C144	M3	O3	M	Y	0	200	6000	1000	10
GSM4339773_C145	GSM4339773 	C145	S1	S1	S	Y	0.085901131	200	6000	1000	10
GSM4339771_C143	GSM4339771 	C143	S2	C1	S	Y	0.007000048	200	6000	1000	10
GSM4339774_C146	GSM4339774 	C146	S3	C2	S	Y	0.749939188	200	6000	1000	10
GSM4475051_C148	GSM4475051 	C148	S4	C3	S	Y	0.00255102	200	6000	1000	10
GSM4475052_C149	GSM4475052 	C149	S5	C4	S	Y	0.408822508	200	6000	1000	10
GSM4475053_C152	GSM4475053 	C152	S6	C5	S	Y	0.096482152	200	6000	1000	10
