p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.54936775783443	0.844	0.328	0	0	CCL8
0	1.53093461085435	0.761	0.242	0	0	CCL7
0	1.40119016086836	0.964	0.439	0	0	CCL2
0	1.04775241949638	0.562	0.219	0	0	SPP1
0	0.994407015950102	0.992	0.744	0	0	CTSL
0	0.937780147102106	0.826	0.424	0	0	CXCL10
0	0.932139000470749	0.929	0.656	0	0	TIMP1
0	0.913177829229991	0.891	0.507	0	0	VAMP5
0	0.84816138845393	0.804	0.375	0	0	MARCKS
0	0.836806136887992	0.735	0.361	0	0	DEFB1
0	0.820591395323649	0.442	0.175	0	0	RNASE1
0	0.812393216745007	0.993	0.818	0	0	CTSB
0	0.803700772193899	0.837	0.499	0	0	CD163
0	0.802985219565895	0.875	0.454	0	0	MAFB
0	0.799264176153279	0.273	0.102	0	0	HAMP
0	0.773497228157837	0.972	0.815	0	0	TYMP
0	0.735676541972852	0.682	0.281	0	0	EMP1
0	0.73446607017518	0.662	0.239	0	0	RGL1
0	0.717166155292365	0.96	0.77	0	0	GLUL
0	0.691003710716872	0.539	0.299	0	0	LGMN
0	0.670544067285385	0.658	0.319	0	0	CALHM6
0	0.665444423319948	0.822	0.491	0	0	LYN
0	0.660364201303728	0.839	0.468	0	0	SGK1
0	0.6518952158623	0.8	0.358	0	0	APOBEC3A
0	0.646522711972334	0.878	0.678	0	0	IFI27
0	0.629787526656979	0.942	0.666	0	0	IFI30
0	0.627103531049822	0.588	0.258	0	0	IL4I1
0	0.61737086306408	0.971	0.738	0	0	KLF6
0	0.615421475653002	0.858	0.559	0	0	FOS
0	0.614946982045065	0.804	0.434	0	0	CCR1
0	0.61088811742555	0.499	0.189	0	0	CD300E
0	0.609455151026479	0.666	0.318	0	0	LHFPL2
0	0.608379552284217	0.511	0.194	0	0	ANKRD22
0	0.607068752424542	0.627	0.316	0	0	ATF5
0	0.606845433548824	0.676	0.264	0	0	FCN1
0	0.598327433903532	0.855	0.506	0	0	C15orf48
0	0.592615134938079	0.685	0.375	0	0	MPP1
0	0.576217486605421	0.679	0.365	0	0	LILRB4
0	0.571961239068498	0.992	0.789	0	0	IFITM3
0	0.570108658753105	0.864	0.624	0	0	LAP3
0	0.569068164593004	0.71	0.41	0	0	NINJ1
0	0.562011807247576	0.672	0.333	0	0	FNIP2
0	0.561165501342832	0.293	0.107	0	0	CYP1B1
0	0.5609336664837	0.855	0.551	0	0	TNFSF13B
0	0.55983225837561	0.972	0.835	0	0	GNG5
0	0.558270128120428	0.882	0.681	0	0	ATOX1
0	0.55378279544709	0.988	0.911	0	0	S100A10
0	0.552632983776067	0.436	0.182	0	0	CD36
0	0.551358794366454	0.713	0.458	0	0	LAIR1
0	0.546547894291488	0.993	0.951	0	0	SH3BGRL3
0	0.544289505020992	0.47	0.244	0	0	ANPEP
0	0.540066891331962	0.833	0.48	0	0	IL1RN
0	0.535726160926871	0.658	0.35	0	0	SIGLEC1
0	0.531474755735484	0.984	0.823	0	0	ISG15
0	0.527259956249071	0.429	0.209	0	0	CXCL11
0	0.526885595562023	0.969	0.8	0	0	MT2A
0	0.524679580518618	0.91	0.553	0	0	RSAD2
0	0.524133209319574	0.956	0.839	0	0	CALM1
